TimePeriod,Geography,Hispanic alone (percent)
2017-21,Fordham - Bronx Pk,66.8
2017-21,Pelham - Throgs Neck,53.3
2017-21,Crotona -Tremont,67.0
2017-21,High Bridge - Morrisania,61.0
2017-21,Hunts Point - Mott Haven,69.8
2017-21,Greenpoint,21.9
2017-21,Downtown - Heights - Slope,14.8
2017-21,Bedford Stuyvesant - Crown Heights,14.1
2017-21,East New York,37.7
2017-21,Sunset Park,41.9
2017-21,Borough Park,13.0
2017-21,East Flatbush - Flatbush,10.2
2017-21,Canarsie - Flatlands,9.3
2017-21,Bensonhurst - Bay Ridge,16.7
2017-21,Coney Island - Sheepshead Bay,12.0
2017-21,Williamsburg - Bushwick,39.6
2017-21,Washington Heights,63.9
2017-21,Central Harlem - Morningside Heights,25.3
2017-21,East Harlem,45.2
2017-21,Upper West Side,15.1
2017-21,Upper East Side,9.1
2017-21,Chelsea - Clinton,16.6
2017-21,Gramercy Park - Murray Hill,10.1
2017-21,Greenwich Village - SoHo,8.5
2017-21,Union Square - Lower East Side,20.4
2017-21,Lower Manhattan,8.7
2017-21,Long Island City - Astoria,23.9
2017-21,West Queens,51.6
2017-21,Flushing - Clearview,17.9
2017-21,Bayside - Little Neck,13.9
2017-21,Ridgewood - Forest Hills,29.2
2017-21,Fresh Meadows,17.8
2017-21,Southwest Queens,33.9
2017-21,Jamaica,17.2
2017-21,Southeast Queens,14.3
2017-21,Rockaways,23.3
2017-21,Port Richmond,35.6
2017-21,Stapleton - St. George,20.9
2017-21,Willowbrook,15.1
2017-21,South Beach - Tottenville,12.3
2017-21,Bronx,56.1
2017-21,Brooklyn,18.8
2017-21,Manhattan,25.6
2017-21,Queens,27.9
2017-21,Staten Island,18.4
2017-21,New York City,28.9
