TimePeriod,GeoType,GeoID,GeoRank,Geography,Estimated annual number (age 18+),Estimated annual number (under age 18),"Estimated annual rate (age 18+) per 100,000 adults","Estimated annual rate (under age 18) per 100,000 children"
2012-2014,UHF42,307,4,Gramercy Park - Murray Hill,30.3,6.2,24.0,57.6
2012-2014,UHF42,308,4,Greenwich Village - SoHo,5.6,1.7,7.2,18.1
2012-2014,UHF42,309,4,Union Square - Lower East Side,65.1,28.8,36.2,114.8
2012-2014,UHF42,310,4,Lower Manhattan,11.5,3.9,24.1,52.3
2012-2014,UHF42,401,4,Long Island City - Astoria,45.8,16.7,25.1,48.8
2012-2014,UHF42,402,4,West Queens,54.5,51.3,13.6,49.0
2012-2014,UHF42,403,4,Flushing - Clearview,21.4,13.4,9.6,29.3
2012-2014,UHF42,404,4,Bayside - Little Neck,4.8,2.3,6.6,13.4
2012-2014,UHF42,405,4,Ridgewood - Forest Hills,29.1,20.8,14.5,43.6
2012-2014,UHF42,406,4,Fresh Meadows,13.0,8.1,16.7,38.1
2012-2014,UHF42,407,4,Southwest Queens,49.8,37.7,23.6,61.0
2012-2014,UHF42,408,4,Jamaica,91.6,59.5,39.6,91.4
2012-2014,UHF42,409,4,Southeast Queens,34.8,21.9,21.9,53.8
2012-2014,UHF42,410,4,Rockaways,36.0,17.6,42.3,57.9
2012-2014,UHF42,501,4,Port Richmond,28.0,16.9,54.0,85.9
2012-2014,UHF42,502,4,Stapleton - St. George,38.7,18.4,39.6,66.1
2012-2014,UHF42,503,4,Willowbrook,10.9,4.7,15.9,26.7
2012-2014,UHF42,504,4,South Beach - Tottenville,18.3,7.9,12.3,19.6
2012-2014,Borough,1,1,Bronx,883.4,676.8,83.7,183.6
2012-2014,Borough,2,1,Brooklyn,881.2,494.5,44.2,81.8
2012-2014,Borough,3,1,Manhattan,565.4,277.2,40.8,116.7
2012-2014,Borough,4,1,Queens,380.7,249.5,20.6,53.2
2012-2014,Borough,5,1,Staten Island,95.9,48.0,26.2,45.4
2012-2014,Citywide,1,0,New York City,"2,806.7","1,745.9",42.2,97.8
2009-2011,UHF42,101,4,Kingsbridge - Riverdale,18.7,10.9,,
2009-2011,UHF42,102,4,Northeast Bronx,54.8,32.8,,
2009-2011,UHF42,103,4,Fordham - Bronx Pk,126.0,84.7,,
2009-2011,UHF42,104,4,Pelham - Throgs Neck,129.6,88.9,,
2009-2011,UHF42,105,4,Crotona -Tremont,188.0,124.9,,
2009-2011,UHF42,106,4,High Bridge - Morrisania,189.4,153.9,,
2009-2011,UHF42,107,4,Hunts Point - Mott Haven,131.2,104.2,,
2009-2011,UHF42,201,4,Greenpoint,27.9,16.2,,
2009-2011,UHF42,202,4,Downtown - Heights - Slope,74.0,36.8,,
2009-2011,UHF42,203,4,Bedford Stuyvesant - Crown Heights,230.4,138.0,,
2009-2011,UHF42,204,4,East New York,114.1,83.0,,
2009-2011,UHF42,205,4,Sunset Park,34.5,15.5,,
2009-2011,UHF42,206,4,Borough Park,31.2,18.9,,
2009-2011,UHF42,207,4,East Flatbush - Flatbush,131.4,79.7,,
2009-2011,UHF42,208,4,Canarsie - Flatlands,61.1,37.1,,
2009-2011,UHF42,209,4,Bensonhurst - Bay Ridge,19.2,8.6,,
2009-2011,UHF42,210,4,Coney Island - Sheepshead Bay,47.1,21.0,,
2009-2011,UHF42,211,4,Williamsburg - Bushwick,165.7,102.6,,
2009-2011,UHF42,301,4,Washington Heights,89.1,68.0,,
2009-2011,UHF42,302,4,Central Harlem - Morningside Heights,178.0,98.8,,
2009-2011,UHF42,303,4,East Harlem,126.1,74.8,,
2009-2011,UHF42,304,4,Upper West Side,47.9,23.9,,
2009-2011,UHF42,305,4,Upper East Side,17.8,11.1,,
2009-2011,UHF42,306,4,Chelsea - Clinton,33.8,10.6,,
2009-2011,UHF42,307,4,Gramercy Park - Murray Hill,25.7,7.2,,
2009-2011,UHF42,308,4,Greenwich Village - SoHo,6.9,2.2,,
2009-2011,UHF42,309,4,Union Square - Lower East Side,79.4,37.1,,
2009-2011,UHF42,310,4,Lower Manhattan,12.0,4.1,,
2009-2011,UHF42,401,4,Long Island City - Astoria,51.7,27.2,,
2009-2011,UHF42,402,4,West Queens,61.0,77.4,,
2009-2011,UHF42,403,4,Flushing - Clearview,19.9,16.9,,
2009-2011,UHF42,404,4,Bayside - Little Neck,4.8,3.7,,
2009-2011,UHF42,405,4,Ridgewood - Forest Hills,29.5,23.9,,
2009-2011,UHF42,406,4,Fresh Meadows,13.0,9.9,,
2009-2011,UHF42,407,4,Southwest Queens,60.8,48.7,,
2009-2011,UHF42,408,4,Jamaica,92.4,76.5,,
2009-2011,UHF42,409,4,Southeast Queens,42.1,29.2,,
2009-2011,UHF42,410,4,Rockaways,40.3,34.4,,
2009-2011,UHF42,501,4,Port Richmond,32.5,18.4,,
2009-2011,UHF42,502,4,Stapleton - St. George,40.8,21.6,,
2009-2011,UHF42,503,4,Willowbrook,10.7,6.0,,
2009-2011,UHF42,504,4,South Beach - Tottenville,17.3,8.8,,
2009-2011,Borough,1,1,Bronx,837.8,600.4,67.0,128.2
2009-2011,Borough,2,1,Brooklyn,936.8,557.4,48.5,93.1
2009-2011,Borough,3,1,Manhattan,616.7,337.6,45.7,144.3
2009-2011,Borough,4,1,Queens,415.5,347.8,23.1,74.8
2009-2011,Borough,5,1,Staten Island,101.4,54.8,28.1,50.5
2009-2011,Citywide,1,0,New York City,"2,908.2","1,898.0",45.1,106.8
2005-2007,UHF42,101,4,Kingsbridge - Riverdale,24.9,15.5,,
2005-2007,UHF42,102,4,Northeast Bronx,97.5,70.1,,
2005-2007,UHF42,103,4,Fordham - Bronx Pk,194.2,126.1,,
2005-2007,UHF42,104,4,Pelham - Throgs Neck,173.5,123.4,,
2005-2007,UHF42,105,4,Crotona -Tremont,266.0,177.7,,
2005-2007,UHF42,106,4,High Bridge - Morrisania,260.3,200.6,,
2005-2007,UHF42,107,4,Hunts Point - Mott Haven,166.9,119.0,,
2005-2007,UHF42,201,4,Greenpoint,33.5,22.5,,
2005-2007,UHF42,202,4,Downtown - Heights - Slope,107.5,41.5,,
2005-2007,UHF42,203,4,Bedford Stuyvesant - Crown Heights,259.3,170.6,,
2005-2007,UHF42,204,4,East New York,121.9,96.5,,
2005-2007,UHF42,205,4,Sunset Park,43.9,15.0,,
2005-2007,UHF42,206,4,Borough Park,31.0,14.3,,
2005-2007,UHF42,207,4,East Flatbush - Flatbush,130.8,91.1,,
2005-2007,UHF42,208,4,Canarsie - Flatlands,62.2,45.3,,
2005-2007,UHF42,209,4,Bensonhurst - Bay Ridge,23.9,7.9,,
2005-2007,UHF42,210,4,Coney Island - Sheepshead Bay,55.8,25.0,,
2005-2007,UHF42,211,4,Williamsburg - Bushwick,162.7,112.6,,
2005-2007,UHF42,301,4,Washington Heights,132.9,111.3,,
2005-2007,UHF42,302,4,Central Harlem - Morningside Heights,230.5,149.6,,
2005-2007,UHF42,303,4,East Harlem,161.8,98.3,,
2005-2007,UHF42,304,4,Upper West Side,65.4,40.7,,
2005-2007,UHF42,305,4,Upper East Side,23.3,14.0,,
2005-2007,UHF42,306,4,Chelsea - Clinton,48.0,17.0,,
2005-2007,UHF42,307,4,Gramercy Park - Murray Hill,33.1,7.0,,
2005-2007,UHF42,308,4,Greenwich Village - SoHo,9.3,2.8,,
2005-2007,UHF42,309,4,Union Square - Lower East Side,82.7,41.2,,
2005-2007,UHF42,310,4,Lower Manhattan,10.4,3.6,,
2005-2007,UHF42,401,4,Long Island City - Astoria,32.1,30.1,,
2005-2007,UHF42,402,4,West Queens,86.3,94.2,,
2005-2007,UHF42,403,4,Flushing - Clearview,28.7,25.1,,
2005-2007,UHF42,404,4,Bayside - Little Neck,6.0,4.7,,
2005-2007,UHF42,405,4,Ridgewood - Forest Hills,35.8,24.0,,
2005-2007,UHF42,406,4,Fresh Meadows,16.0,11.4,,
2005-2007,UHF42,407,4,Southwest Queens,62.5,54.3,,
2005-2007,UHF42,408,4,Jamaica,103.7,78.4,,
2005-2007,UHF42,409,4,Southeast Queens,43.7,34.3,,
2005-2007,UHF42,410,4,Rockaways,46.7,44.4,,
2005-2007,UHF42,501,4,Port Richmond,31.6,21.9,,
2005-2007,UHF42,502,4,Stapleton - St. George,40.4,24.7,,
2005-2007,UHF42,503,4,Willowbrook,11.2,5.9,,
2005-2007,UHF42,504,4,South Beach - Tottenville,23.6,10.6,,
2005-2007,Borough,1,1,Bronx,"1,183.2",832.4,122.3,212.5
2005-2007,Borough,2,1,Brooklyn,"1,032.4",642.2,55.5,99.3
2005-2007,Borough,3,1,Manhattan,797.5,485.5,59.9,179.4
2005-2007,Borough,4,1,Queens,461.4,400.8,26.0,80.8
2005-2007,Borough,5,1,Staten Island,106.8,63.1,29.6,55.3
2005-2007,Citywide,1,0,New York City,"3,581.3","2,423.9",56.9,126.3
